Data/Ora, Benzene - µg/m³
2020/02/17 01:00,1.3
2020/02/17 02:00,1.3
2020/02/17 03:00,0.9
2020/02/17 04:00,0.6
2020/02/17 05:00,0.5
2020/02/17 06:00,0.5
2020/02/17 07:00,0.4
2020/02/17 08:00,0.5
2020/02/17 09:00,1.9
2020/02/17 10:00,2.0
2020/02/17 11:00,1.9
2020/02/17 12:00,1.6
2020/02/17 13:00,1.2
2020/02/17 14:00,1.6
2020/02/17 15:00,1.2
2020/02/17 16:00,1.1
2020/02/17 17:00,1.0
2020/02/17 18:00,1.1
2020/02/17 19:00,1.2
2020/02/17 20:00,1.6
2020/02/17 21:00,1.4
2020/02/17 22:00,1.2
2020/02/17 23:00,1.3
2020/02/18 00:00,1.6
2020/02/18 01:00,1.3
2020/02/18 02:00,1.2
2020/02/18 03:00,1.3
2020/02/18 04:00,1.2
2020/02/18 05:00,0.6
2020/02/18 06:00,1.0
2020/02/18 07:00,1.4
2020/02/18 08:00,1.4
2020/02/18 09:00,1.9
2020/02/18 10:00,1.9
2020/02/18 11:00,1.6
2020/02/18 12:00,1.2
2020/02/18 13:00,1.0
2020/02/18 14:00,1.3
2020/02/18 15:00,1.3
2020/02/18 16:00,1.6
2020/02/18 17:00,1.5
2020/02/18 18:00,1.1
2020/02/18 19:00,2.2
2020/02/18 20:00,1.8
2020/02/18 21:00,1.5
2020/02/18 22:00,1.3
2020/02/18 23:00,0.9
2020/02/19 00:00,1.0
2020/02/19 01:00,0.9
2020/02/19 02:00,1.1
2020/02/19 03:00,1.1
2020/02/19 04:00,1.2
2020/02/19 05:00,1.4
2020/02/19 06:00,1.6
2020/02/19 07:00,1.3
2020/02/19 08:00,1.3
2020/02/19 09:00,1.8
2020/02/19 10:00,2.2
2020/02/19 11:00,3.2
2020/02/19 12:00,2.3
2020/02/19 13:00,1.9
2020/02/19 14:00,1.6
2020/02/19 15:00,1.3
2020/02/19 16:00,1.4
2020/02/19 17:00,1.0
2020/02/19 18:00,1.2
2020/02/19 19:00,2.2
2020/02/19 20:00,3.0
2020/02/19 21:00,2.9
2020/02/19 22:00,0.9
2020/02/19 23:00,0.9
2020/02/20 00:00,0.4
2020/02/20 01:00,0.4
2020/02/20 02:00,0.5
2020/02/20 03:00,0.4
2020/02/20 04:00,0.3
2020/02/20 05:00,0.5
2020/02/20 06:00,0.4
2020/02/20 07:00,0.4
2020/02/20 08:00,1.5
2020/02/20 09:00,1.2
2020/02/20 10:00,2.3
2020/02/20 11:00,2.5
2020/02/20 12:00,1.1
2020/02/20 13:00,0.7
2020/02/20 14:00,0.8
2020/02/20 15:00,0.8
2020/02/20 16:00,1.0
2020/02/20 17:00,0.7
2020/02/20 18:00,1.3
2020/02/20 19:00,1.1
2020/02/20 20:00,2.2
2020/02/20 21:00,1.7
2020/02/20 22:00,1.7
2020/02/20 23:00,1.3
2020/02/21 00:00,1.9
2020/02/21 01:00,2.1
2020/02/21 02:00,2.2
2020/02/21 03:00,2.1
2020/02/21 04:00,2.0
2020/02/21 05:00,1.6
2020/02/21 06:00,1.4
2020/02/21 07:00,1.3
2020/02/21 08:00,1.6
2020/02/21 09:00,1.7
2020/02/21 10:00,2.4
2020/02/21 11:00,1.8
2020/02/21 12:00,1.3
2020/02/21 13:00,0.9
2020/02/21 14:00,0.9
2020/02/21 15:00,1.1
2020/02/21 16:00,1.4
2020/02/21 17:00,1.5
2020/02/21 18:00,1.2
2020/02/21 19:00,1.7
2020/02/21 20:00,2.0
2020/02/21 21:00,1.6
2020/02/21 22:00,1.1
2020/02/21 23:00,0.9
2020/02/22 00:00,0.9
2020/02/22 01:00,0.9
2020/02/22 02:00,0.9
2020/02/22 03:00,0.8
2020/02/22 04:00,0.7
2020/02/22 05:00,0.7
2020/02/22 06:00,0.6
2020/02/22 07:00,0.7
2020/02/22 08:00,1.1
2020/02/22 09:00,1.4
2020/02/22 10:00,1.5
2020/02/22 11:00,1.2
2020/02/22 12:00,1.4
2020/02/22 13:00,1.3
2020/02/22 14:00,0.9
2020/02/22 15:00,1.0
2020/02/22 16:00,0.8
2020/02/22 17:00,0.6
2020/02/22 18:00,1.3
2020/02/22 19:00,1.7
2020/02/22 20:00,1.7
2020/02/22 21:00,1.3
2020/02/22 22:00,1.3
2020/02/22 23:00,0.8
2020/02/23 00:00,1.2
2020/02/23 01:00,0.9
2020/02/23 02:00,1.0
2020/02/23 03:00,1.0
2020/02/23 04:00,1.4
2020/02/23 05:00,1.0
2020/02/23 06:00,1.0
2020/02/23 07:00,1.2
2020/02/23 08:00,1.0
2020/02/23 09:00,1.0
2020/02/23 10:00,1.0
2020/02/23 11:00,0.8
2020/02/23 12:00,0.5
2020/02/23 13:00,0.4
2020/02/23 14:00,0.3
2020/02/23 15:00,0.3
2020/02/23 16:00,0.3
2020/02/23 17:00,0.5
2020/02/23 18:00,0.5
2020/02/23 19:00,0.7
2020/02/23 20:00,0.9
2020/02/23 21:00,0.6
2020/02/23 22:00,0.5
2020/02/23 23:00,0.4
2020/02/24 00:00,0.3
