Stazione, Milano v.Liguria
-999 Valore mancante o invalido

Data/Ora, Biossido di Azoto - µg/m³
2020/02/17 01:00,79.3
2020/02/17 02:00,75.6
2020/02/17 03:00,51.4
2020/02/17 04:00,35.8
2020/02/17 05:00,21.1
2020/02/17 06:00,19.4
2020/02/17 07:00,28.9
2020/02/17 08:00,70.7
2020/02/17 09:00,83.8
2020/02/17 10:00,108.4
2020/02/17 11:00,102.3
2020/02/17 12:00,90.0
2020/02/17 13:00,68.9
2020/02/17 14:00,68.8
2020/02/17 15:00,61.8
2020/02/17 16:00,58.7
2020/02/17 17:00,63.6
2020/02/17 18:00,73.7
2020/02/17 19:00,78.7
2020/02/17 20:00,80.2
2020/02/17 21:00,80.4
2020/02/17 22:00,76.7
2020/02/17 23:00,71.9
2020/02/18 00:00,82.7
2020/02/18 01:00,71.7
2020/02/18 02:00,66.3
2020/02/18 03:00,64.7
2020/02/18 04:00,65.2
2020/02/18 05:00,51.2
2020/02/18 06:00,44.9
2020/02/18 07:00,59.5
2020/02/18 08:00,85.0
2020/02/18 09:00,82.6
2020/02/18 10:00,58.6
2020/02/18 11:00,47.9
2020/02/18 12:00,27.9
2020/02/18 13:00,29.8
2020/02/18 14:00,32.6
2020/02/18 15:00,34.7
2020/02/18 16:00,39.7
2020/02/18 17:00,40.6
2020/02/18 18:00,56.6
2020/02/18 19:00,85.7
2020/02/18 20:00,106.8
2020/02/18 21:00,94.3
2020/02/18 22:00,86.3
2020/02/18 23:00,78.5
2020/02/19 00:00,88.5
2020/02/19 01:00,82.6
2020/02/19 02:00,71.4
2020/02/19 03:00,63.8
2020/02/19 04:00,56.6
2020/02/19 05:00,52.8
2020/02/19 06:00,55.3
2020/02/19 07:00,62.0
2020/02/19 08:00,79.7
2020/02/19 09:00,120.1
2020/02/19 10:00,121.8
2020/02/19 11:00,59.8
2020/02/19 12:00,44.4
2020/02/19 13:00,48.7
2020/02/19 14:00,42.2
2020/02/19 15:00,42.9
2020/02/19 16:00,42.8
2020/02/19 17:00,42.5
2020/02/19 18:00,76.2
2020/02/19 19:00,94.4
2020/02/19 20:00,114.7
2020/02/19 21:00,95.9
2020/02/19 22:00,71.0
2020/02/19 23:00,46.2
2020/02/20 00:00,42.8
2020/02/20 01:00,58.1
2020/02/20 02:00,67.9
2020/02/20 03:00,58.2
2020/02/20 04:00,78.4
2020/02/20 05:00,69.3
2020/02/20 06:00,42.1
2020/02/20 07:00,70.2
2020/02/20 08:00,120.4
2020/02/20 09:00,103.5
2020/02/20 10:00,63.7
2020/02/20 11:00,56.4
2020/02/20 12:00,48.9
2020/02/20 13:00,30.5
2020/02/20 14:00,34.4
2020/02/20 15:00,39.7
2020/02/20 16:00,29.3
2020/02/20 17:00,42.7
2020/02/20 18:00,55.1
2020/02/20 19:00,97.1
2020/02/20 20:00,111.2
2020/02/20 21:00,145.3
2020/02/20 22:00,150.2
2020/02/20 23:00,142.3
2020/02/21 00:00,149.4
2020/02/21 01:00,144.8
2020/02/21 02:00,126.4
2020/02/21 03:00,116.4
2020/02/21 04:00,106.2
2020/02/21 05:00,93.5
2020/02/21 06:00,81.0
2020/02/21 07:00,92.6
2020/02/21 08:00,107.1
2020/02/21 09:00,106.0
2020/02/21 10:00,95.3
2020/02/21 11:00,80.3
2020/02/21 12:00,64.0
2020/02/21 13:00,46.9
2020/02/21 14:00,36.3
2020/02/21 15:00,42.6
2020/02/21 16:00,32.0
2020/02/21 17:00,30.2
2020/02/21 18:00,56.8
2020/02/21 19:00,83.9
2020/02/21 20:00,110.9
2020/02/21 21:00,108.9
2020/02/21 22:00,99.8
2020/02/21 23:00,76.3
2020/02/22 00:00,70.0
2020/02/22 01:00,67.9
2020/02/22 02:00,64.9
2020/02/22 03:00,69.7
2020/02/22 04:00,73.6
2020/02/22 05:00,60.3
2020/02/22 06:00,73.0
2020/02/22 07:00,105.3
2020/02/22 08:00,122.9
2020/02/22 09:00,98.7
2020/02/22 10:00,89.0
2020/02/22 11:00,75.8
2020/02/22 12:00,64.3
2020/02/22 13:00,50.3
2020/02/22 14:00,33.9
2020/02/22 15:00,29.8
2020/02/22 16:00,33.5
2020/02/22 17:00,25.9
2020/02/22 18:00,30.4
2020/02/22 19:00,54.9
2020/02/22 20:00,107.3
2020/02/22 21:00,105.6
2020/02/22 22:00,75.9
2020/02/22 23:00,84.6
2020/02/23 00:00,87.5
2020/02/23 01:00,70.9
2020/02/23 02:00,72.5
2020/02/23 03:00,88.1
2020/02/23 04:00,89.4
2020/02/23 05:00,87.5
2020/02/23 06:00,81.7
2020/02/23 07:00,83.3
2020/02/23 08:00,80.5
2020/02/23 09:00,77.9
2020/02/23 10:00,73.9
2020/02/23 11:00,55.9
2020/02/23 12:00,38.3
2020/02/23 13:00,24.2
2020/02/23 14:00,19.5
2020/02/23 15:00,19.6
2020/02/23 16:00,29.6
2020/02/23 17:00,34.0
2020/02/23 18:00,48.1
2020/02/23 19:00,62.4
2020/02/23 20:00,73.8
2020/02/23 21:00,62.1
2020/02/23 22:00,52.9
2020/02/23 23:00,56.1
2020/02/24 00:00,46.1
