id_amat;label;LONG_X_4326;LAT_Y_4326;Location
57;PORTA TENAGLIA;9.18173638705536;45.4776150167559;"(45.4776150167559, 9.18173638705536)"
58;LEGNANO;9.1810949960991;45.4769479135706;"(45.4769479135706, 9.1810949960991)"
59;MOSCOVA;9.18190290986495;45.4782829620525;"(45.4782829620525, 9.18190290986495)"
60;VOLTA;9.18292490960542;45.4805231877769;"(45.4805231877769, 9.18292490960542)"
61;GARIBALDI;9.18652972237672;45.4801481210917;"(45.4801481210917, 9.18652972237672)"
62;MILAZZO;9.18783856180101;45.4799208137709;"(45.4799208137709, 9.18783856180101)"
63;CASTELFIDARDO;9.19149691482653;45.4794558677973;"(45.4794558677973, 9.19149691482653)"
64;TURATI;9.19574879419328;45.4772199571292;"(45.4772199571292, 9.19574879419328)"
65;VENEZIA;9.20451052160064;45.4739996532999;"(45.4739996532999, 9.20451052160064)"
66;BARETTI;9.20503767573354;45.4715453649077;"(45.4715453649077, 9.20503767573354)"
67;VITALI;9.20506298038213;45.4708421909421;"(45.4708421909421, 9.20506298038213)"
68;ROSSINI;9.20528237775028;45.4694373399137;"(45.4694373399137, 9.20528237775028)"
69;MONFORTE;9.20546401718209;45.4677464626012;"(45.4677464626012, 9.20546401718209)"
70;MASCAGNI;9.20558465056198;45.4665135875766;"(45.4665135875766, 9.20558465056198)"
71;PORTA VITTORIA;9.20636564064416;45.4623962689648;"(45.4623962689648, 9.20636564064416)"
72;BESANA;9.20607430355269;45.4601027350905;"(45.4601027350905, 9.20607430355269)"
73;LAMARMORA;9.20411371281742;45.4573920033913;"(45.4573920033913, 9.20411371281742)"
74;CURTATONE;9.20275349378272;45.4551514780393;"(45.4551514780393, 9.20275349378272)"
75;PORTA ROMANA;9.20156837474178;45.4525648665049;"(45.4525648665049, 9.20156837474178)"
76;CABRINI;9.19891524963364;45.4522966448722;"(45.4522966448722, 9.19891524963364)"
77;PORTA VIGENTINA;9.19644482033831;45.4523073925782;"(45.4523073925782, 9.19644482033831)"
78;BIANCA DI SAVOIA;9.19105435598674;45.4522875416029;"(45.4522875416029, 9.19105435598674)"
79;MELEGNANO;9.18865492020774;45.4523680183846;"(45.4523680183846, 9.18865492020774)"
80;ITALIA;9.18681708794801;45.4525896313909;"(45.4525896313909, 9.18681708794801)"
81;AURISPA;9.18441186068975;45.4528082608016;"(45.4528082608016, 9.18441186068975)"
82;PORTA TICINESE;9.18027400620731;45.4532553794878;"(45.4532553794878, 9.18027400620731)"
83;PANZERI;9.17837663908078;45.4532109252523;"(45.4532109252523, 9.17837663908078)"
84;RONZONI;9.17628400234691;45.4543321753981;"(45.4543321753981, 9.17628400234691)"
85;GENOVA;9.17376893922904;45.4559827494488;"(45.4559827494488, 9.17376893922904)"
86;AUSONIO;9.17137166753147;45.457606542825;"(45.457606542825, 9.17137166753147)"
87;SANT'AGOSTINO;9.16975259571795;45.4586533465426;"(45.4586533465426, 9.16975259571795)"
88;SERVIO TULLIO;9.16862245643641;45.4593180995061;"(45.4593180995061, 9.16862245643641)"
89;OLIVETANI;9.16691349630027;45.460318647698;"(45.460318647698, 9.16691349630027)"
90;BANDELLO;9.16529160119685;45.4628393273515;"(45.4628393273515, 9.16529160119685)"
91;SAN VITTORE;9.1659951390863;45.4646400054629;"(45.4646400054629, 9.1659951390863)"
92;MAGENTA;9.16637724018541;45.4659497748723;"(45.4659497748723, 9.16637724018541)"
93;BOCCACCIO;9.16692400998873;45.4674699804057;"(45.4674699804057, 9.16692400998873)"
94;XX SETTEMBRE;9.1668579139757;45.4677715592158;"(45.4677715592158, 9.1668579139757)"
95;BAZZONI;9.16643454439999;45.4678983482685;"(45.4678983482685, 9.16643454439999)"
96;MASCHERONI;9.16605862635026;45.4694235851656;"(45.4694235851656, 9.16605862635026)"
97;MONTI;9.16908759144469;45.4709162126592;"(45.4709162126592, 9.16908759144469)"
98;MILTON;9.17010330562474;45.4738065967168;"(45.4738065967168, 9.17010330562474)"
